head,left,right,winner,sampler,score,puid,response_time,network_latency,time_received,loser,left_html,right_html,head_html,winner_html,loser_html,left_filename,right_filename,head_filename,winner_filename,loser_filename,time_received_since_start,datetime_received,start_time
11,62,39,39,Random,-9999,af1e0a9151a8c1b9,3.073000192642212,0.1269998550415039,1644975619.623,62,<img src='/static/targets/4-8-1.png' />,<img src='/static/targets/3-4-2.png' />,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/3-4-2.png' />,<img src='/static/targets/4-8-1.png' />,4-8-1.png,3-4-2.png,1-6-2.png,3-4-2.png,4-8-1.png,13308.324375391006,2022-02-16T01:40:19.623000,1644962311.2986245
3,16,23,23,Validation,2,9e2b9d0501f064f7,0.5990002155303955,0.44899988174438477,1644975619.909,16,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/2-4-2.png' />,<img src='/static/targets/1-2-2.png' />,<img src='/static/targets/2-4-2.png' />,<img src='/static/targets/2-1-1.png' />,2-1-1.png,2-4-2.png,1-2-2.png,2-4-2.png,2-1-1.png,13308.610375404358,2022-02-16T01:40:19.909000,1644962311.2986245
33,49,2,2,Random,-9999,b6e795645db9fb25,5.868000030517578,0.21000003814697266,1644975620.739,49,<img src='/static/targets/4-1-2.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/3-1-2.png' />,<img src='/static/targets/1-2-1.png' />,<img src='/static/targets/4-1-2.png' />,4-1-2.png,1-2-1.png,3-1-2.png,1-2-1.png,4-1-2.png,13309.440375566483,2022-02-16T01:40:20.739000,1644962311.2986245
20,24,50,24,Random,-9999,af1e0a9151a8c1b9,1.2679998874664307,0.23799991607666016,1644975621.028,50,<img src='/static/targets/2-5-1.png' />,<img src='/static/targets/4-2-1.png' />,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/2-5-1.png' />,<img src='/static/targets/4-2-1.png' />,2-5-1.png,4-2-1.png,2-3-1.png,2-5-1.png,4-2-1.png,13309.729375600815,2022-02-16T01:40:21.028000,1644962311.2986245
48,19,50,50,Validation,3,8a6025b237d138e4,1.3940000534057617,0.10199999809265137,1644975621.034,19,<img src='/static/targets/2-2-2.png' />,<img src='/static/targets/4-2-1.png' />,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/4-2-1.png' />,<img src='/static/targets/2-2-2.png' />,2-2-2.png,4-2-1.png,4-1-1.png,4-2-1.png,2-2-2.png,13309.735375404358,2022-02-16T01:40:21.034000,1644962311.2986245
30,57,8,57,Random,-9999,9e2b9d0501f064f7,0.5690000057220459,0.4139997959136963,1644975621.423,8,<img src='/static/targets/4-5-2.png' />,<img src='/static/targets/1-5-1.png' />,<img src='/static/targets/2-8-1.png' />,<img src='/static/targets/4-5-2.png' />,<img src='/static/targets/1-5-1.png' />,4-5-2.png,1-5-1.png,2-8-1.png,4-5-2.png,1-5-1.png,13310.124375581741,2022-02-16T01:40:21.423000,1644962311.2986245
54,32,7,7,Random,-9999,9e2b9d0501f064f7,0.6630001068115234,0.937000036239624,1644975622.544,32,<img src='/static/targets/3-1-1.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/4-4-1.png' />,<img src='/static/targets/1-4-2.png' />,<img src='/static/targets/3-1-1.png' />,3-1-1.png,1-4-2.png,4-4-1.png,1-4-2.png,3-1-1.png,13311.245375394821,2022-02-16T01:40:22.544000,1644962311.2986245
34,20,41,41,Random,-9999,8a6025b237d138e4,2.1509997844696045,0.10100007057189941,1644975623.374,20,<img src='/static/targets/2-3-1.png' />,<img src='/static/targets/3-5-2.png' />,<img src='/static/targets/3-2-1.png' />,<img src='/static/targets/3-5-2.png' />,<img src='/static/targets/2-3-1.png' />,2-3-1.png,3-5-2.png,3-2-1.png,3-5-2.png,2-3-1.png,13312.075375556946,2022-02-16T01:40:23.374000,1644962311.2986245
3,47,16,16,Random,-9999,af1e0a9151a8c1b9,2.1720001697540283,0.125,1644975623.554,47,<img src='/static/targets/3-8-2.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/1-2-2.png' />,<img src='/static/targets/2-1-1.png' />,<img src='/static/targets/3-8-2.png' />,3-8-2.png,2-1-1.png,1-2-2.png,2-1-1.png,3-8-2.png,13312.255375385284,2022-02-16T01:40:23.554000,1644962311.2986245
11,22,56,56,Random,-9999,9e2b9d0501f064f7,0.6019999980926514,0.4789998531341553,1644975623.558,22,<img src='/static/targets/2-4-1.png' />,<img src='/static/targets/4-5-1.png' />,<img src='/static/targets/1-6-2.png' />,<img src='/static/targets/4-5-1.png' />,<img src='/static/targets/2-4-1.png' />,2-4-1.png,4-5-1.png,1-6-2.png,4-5-1.png,2-4-1.png,13312.259375572205,2022-02-16T01:40:23.558000,1644962311.2986245
48,1,35,35,Random,-9999,b6e795645db9fb25,3.364000082015991,0.2089998722076416,1644975624.299,1,<img src='/static/targets/1-1-2.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/4-1-1.png' />,<img src='/static/targets/3-2-2.png' />,<img src='/static/targets/1-1-2.png' />,1-1-2.png,3-2-2.png,4-1-1.png,3-2-2.png,1-1-2.png,13313.000375509262,2022-02-16T01:40:24.299000,1644962311.2986245
